DATE,M11003USM144NNBR
1885-01-01,429
1885-02-01,451
1885-03-01,407
1885-04-01,270
1885-05-01,314
1885-06-01,274
1885-07-01,462
1885-08-01,382
1885-09-01,346
1885-10-01,693
1885-11-01,789
1885-12-01,664
1886-01-01,570
1886-02-01,587
1886-03-01,609
1886-04-01,377
1886-05-01,423
1886-06-01,452
1886-07-01,305
1886-08-01,306
1886-09-01,476
1886-10-01,618
1886-11-01,533
1886-12-01,629
1887-01-01,414
1887-02-01,372
1887-03-01,380
1887-04-01,472
1887-05-01,371
1887-06-01,393
1887-07-01,261
1887-08-01,343
1887-09-01,391
1887-10-01,447
1887-11-01,400
1887-12-01,264
1888-01-01,210
1888-02-01,178
1888-03-01,267
1888-04-01,385
1888-05-01,314
1888-06-01,199
1888-07-01,243
1888-08-01,268
1888-09-01,434
1888-10-01,372
1888-11-01,294
1888-12-01,375
1889-01-01,285
1889-02-01,345
1889-03-01,351
1889-04-01,272
1889-05-01,421
1889-06-01,388
1889-07-01,305
1889-08-01,296
1889-09-01,333
1889-10-01,427
1889-11-01,350
1889-12-01,287
1890-01-01,316
1890-02-01,311
1890-03-01,234
1890-04-01,304
1890-05-01,629
1890-06-01,322
1890-07-01,177
1890-08-01,251
1890-09-01,311
1890-10-01,426
1890-11-01,431
1890-12-01,266
1891-01-01,268
1891-02-01,176
1891-03-01,195
1891-04-01,423
1891-05-01,372
1891-06-01,233
1891-07-01,181
1891-08-01,324
1891-09-01,593
1891-10-01,374
1891-11-01,302
1891-12-01,371
1892-01-01,533
1892-02-01,571
1892-03-01,484
1892-04-01,367
1892-05-01,363
1892-06-01,333
1892-07-01,229
1892-08-01,321
1892-09-01,380
1892-10-01,412
1892-11-01,357
1892-12-01,522
1893-01-01,706
1893-02-01,567
1893-03-01,453
1893-04-01,381
1893-05-01,466
1893-06-01,254
1893-07-01,323
1893-08-01,261
1893-09-01,262
1893-10-01,314
1893-11-01,328
1893-12-01,235
1894-01-01,257
1894-02-01,187
1894-03-01,281
1894-04-01,220
1894-05-01,324
1894-06-01,239
1894-07-01,191
1894-08-01,309
1894-09-01,253
1894-10-01,253
1894-11-01,303
1894-12-01,278
1895-01-01,193
1895-02-01,186
1895-03-01,301
1895-04-01,272
1895-05-01,464
1895-06-01,319
1895-07-01,343
1895-08-01,337
1895-09-01,311
1895-10-01,302
1895-11-01,294
1895-12-01,417
1896-01-01,250
1896-02-01,306
1896-03-01,252
1896-04-01,256
1896-05-01,188
1896-06-01,296
1896-07-01,354
1896-08-01,269
1896-09-01,274
1896-10-01,313
1896-11-01,330
1896-12-01,240
1897-01-01,209
1897-02-01,172
1897-03-01,325
1897-04-01,229
1897-05-01,227
1897-06-01,433
1897-07-01,459
1897-08-01,656
1897-09-01,799
1897-10-01,523
1897-11-01,411
1897-12-01,532
1898-01-01,642
1898-02-01,656
1898-03-01,789
1898-04-01,443
1898-05-01,640
1898-06-01,635
1898-07-01,361
1898-08-01,924
1898-09-01,713
1898-10-01,551
1898-11-01,772
1898-12-01,1062
1899-01-01,1620
1899-02-01,1191
1899-03-01,1375
1899-04-01,1432
1899-05-01,1235
1899-06-01,928
1899-07-01,709
1899-08-01,1076
1899-09-01,956
1899-10-01,852
1899-11-01,937
1899-12-01,1119
1900-01-01,687
1900-02-01,719
1900-03-01,1101
1900-04-01,977
1900-05-01,610
1900-06-01,455
1900-07-01,401
1900-08-01,237
1900-09-01,301
1900-10-01,706
1900-11-01,1478
1900-12-01,1576
1901-01-01,2082
1901-02-01,1579
1901-03-01,2098
1901-04-01,3515
1901-05-01,2683
1901-06-01,1510
1901-07-01,1215
1901-08-01,832
1901-09-01,1067
1901-10-01,1050
1901-11-01,1459
1901-12-01,1341
1902-01-01,1040
1902-02-01,1011
1902-03-01,877
1902-04-01,1999
1902-05-01,949
1902-06-01,549
1902-07-01,1301
1902-08-01,1066
1902-09-01,1608
1902-10-01,1265
1902-11-01,1308
1902-12-01,1245
1903-01-01,1205
1903-02-01,835
1903-03-01,1132
1903-04-01,900
1903-05-01,901
1903-06-01,1170
1903-07-01,1019
1903-08-01,1005
1903-09-01,710
1903-10-01,721
1903-11-01,566
1903-12-01,840
1904-01-01,667
1904-02-01,500
1904-03-01,654
1904-04-01,439
1904-05-01,288
1904-06-01,250
1904-07-01,699
1904-08-01,654
1904-09-01,1102
1904-10-01,2100
1904-11-01,2718
1904-12-01,1990
1905-01-01,1375
1905-02-01,2015
1905-03-01,2178
1905-04-01,2670
1905-05-01,1759
1905-06-01,999
1905-07-01,1075
1905-08-01,1646
1905-09-01,1336
1905-10-01,1459
1905-11-01,2178
1905-12-01,2604
1906-01-01,3333
1906-02-01,1832
1906-03-01,1591
1906-04-01,1929
1906-05-01,1879
1906-06-01,1564
1906-07-01,1310
1906-08-01,2701
1906-09-01,2156
1906-10-01,1795
1906-11-01,1625
1906-12-01,1675
1907-01-01,1855
1907-02-01,1241
1907-03-01,2610
1907-04-01,1509
1907-05-01,1205
1907-06-01,740
1907-07-01,991
1907-08-01,1180
1907-09-01,902
1907-10-01,1127
1907-11-01,617
1907-12-01,779
1908-01-01,1016
1908-02-01,610
1908-03-01,1015
1908-04-01,783
1908-05-01,1470
1908-06-01,772
1908-07-01,964
1908-08-01,1584
1908-09-01,1486
1908-10-01,1253
1908-11-01,2307
1908-12-01,2060
1909-01-01,1550
1909-02-01,1082
1909-03-01,1175
1909-04-01,1648
1909-05-01,1411
1909-06-01,1815
1909-07-01,1100
1909-08-01,2301
1909-09-01,1792
1909-10-01,2000
1909-11-01,1675
1909-12-01,1590
1910-01-01,2237
1910-02-01,1408
1910-03-01,1327
1910-04-01,1256
1910-05-01,1005
1910-06-01,1385
1910-07-01,1235
1910-08-01,855
1910-09-01,601
1910-10-01,1229
1910-11-01,876
1910-12-01,760
1911-01-01,872
1911-02-01,880
1911-03-01,600
1911-04-01,456
1911-05-01,971
1911-06-01,940
1911-07-01,486
1911-08-01,1308
1911-09-01,1401
1911-10-01,943
1911-11-01,1349
1911-12-01,794
1912-01-01,958
1912-02-01,602
1912-03-01,1313
1912-04-01,1438
1912-05-01,1210
1912-06-01,622
1912-07-01,620
1912-08-01,790
1912-09-01,887
1912-10-01,1234
1912-11-01,770
1912-12-01,1115
1913-01-01,791
1913-02-01,600
1913-03-01,620
1913-04-01,716
1913-05-01,470
1913-06-01,833
1913-07-01,444
1913-08-01,521
1913-09-01,632
1913-10-01,626
1913-11-01,305
1913-12-01,600
1914-01-01,848
1914-02-01,516
1914-03-01,483
1914-04-01,593
1914-05-01,375
1914-06-01,325
1914-07-01,652
1914-08-01,.
1914-09-01,.
1914-10-01,.
1914-11-01,.
1914-12-01,106
1915-01-01,302
1915-02-01,262
1915-03-01,535
1915-04-01,1619
1915-05-01,958
1915-06-01,832
1915-07-01,959
1915-08-01,1435
1915-09-01,1400
1915-10-01,1942
1915-11-01,1325
1915-12-01,1089
1916-01-01,1301
1916-02-01,962
1916-03-01,1264
1916-04-01,1061
1916-05-01,1322
1916-06-01,1015
1916-07-01,754
1916-08-01,1119
1916-09-01,2404
1916-10-01,2353
1916-11-01,2712
1916-12-01,2600
1917-01-01,1466
1917-02-01,1171
1917-03-01,1588
1917-04-01,1237
1917-05-01,1710
1917-06-01,1712
1917-07-01,1197
1917-08-01,1053
1917-09-01,1158
1917-10-01,1322
1917-11-01,1108
1917-12-01,925
1918-01-01,1175
1918-02-01,997
1918-03-01,711
1918-04-01,631
1918-05-01,1826
1918-06-01,1010
1918-07-01,718
1918-08-01,600
1918-09-01,682
1918-10-01,1800
1918-11-01,1284
1918-12-01,1046
1919-01-01,1037
1919-02-01,1038
1919-03-01,1845
1919-04-01,2141
1919-05-01,3841
1919-06-01,2600
1919-07-01,2810
1919-08-01,2057
1919-09-01,2114
1919-10-01,3249
1919-11-01,2120
1919-12-01,2000
1920-01-01,1612
1920-02-01,1686
1920-03-01,2312
1920-04-01,2300
1920-05-01,1236
1920-06-01,686
1920-07-01,904
1920-08-01,940
1920-09-01,1023
1920-10-01,930
1920-11-01,1280
1920-12-01,1600
